profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,21.83203125,21.83203125,21.83203125,21.83203125
extract-frames,Lowest-Latency,1.43701171875,1.43701171875,1.43701171875,1.43701171875
extract-frames,Random,24.20166015625,24.20166015625,24.20166015625,24.20166015625
extract-frames,Round-Robin,22.47509765625,22.47509765625,22.47509765625,22.47509765625
extract-frames,SLO-first,1.7958984375,1.7958984375,1.7958984375,1.7958984375
object-det,Best-Acc,27.544921875,27.544921875,27.544921875,27.544921875
object-det,Lowest-Latency,2.4658203125,2.4658203125,2.4658203125,2.4658203125
object-det,Random,20.77880859375,20.77880859375,20.77880859375,20.77880859375
object-det,Round-Robin,24.21240234375,24.21240234375,24.21240234375,24.21240234375
object-det,SLO-first,1.7958984375,1.7958984375,1.7958984375,1.7958984375
prepare-ds,Best-Acc,38.7802734375,38.7802734375,38.7802734375,38.7802734375
prepare-ds,Lowest-Latency,1.72705078125,1.72705078125,1.72705078125,1.72705078125
prepare-ds,Random,21.95654296875,21.95654296875,21.95654296875,21.95654296875
prepare-ds,Round-Robin,21.365234375,21.365234375,21.365234375,21.365234375
prepare-ds,SLO-first,1.4130859375,1.4130859375,1.4130859375,1.4130859375
