profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,71.6,71.5,93.6,97.92
extract-frames,Lowest-Latency,16.0,15.5,20.549999999999997,20.91
extract-frames,Random,66.4,67.5,80.0,80.0
extract-frames,Round-Robin,74.5,75.5,102.94999999999999,106.19
extract-frames,SLO-first,18.8,18.0,26.199999999999996,27.64
object-det,Best-Acc,67.1,66.5,95.89999999999998,102.38
object-det,Lowest-Latency,13.3,13.5,17.0,17.0
object-det,Random,65.5,55.5,100.19999999999999,101.64
object-det,Round-Robin,72.5,68.5,108.19999999999999,109.64
object-det,SLO-first,15.9,15.0,23.099999999999998,23.82
prepare-ds,Best-Acc,82.7,85.0,94.1,94.82
prepare-ds,Lowest-Latency,12.3,13.0,16.549999999999997,16.91
prepare-ds,Random,66.1,68.5,76.55,76.91
prepare-ds,Round-Robin,70.6,68.5,102.14999999999999,106.83
prepare-ds,SLO-first,18.7,19.5,27.39999999999999,30.28
