profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
extract-frames,Lowest-Latency,1.27431640625,1.24560546875,1.36044921875,1.38341796875
extract-frames,Random,1.51357421875,1.38916015625,1.77197265625,1.77197265625
extract-frames,Round-Robin,1.39873046875,1.38916015625,1.73369140625,1.76431640625
extract-frames,SLO-first,1.27431640625,1.19775390625,1.50400390625,1.56525390625
object-det,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
object-det,Lowest-Latency,1.24560546875,1.24560546875,1.24560546875,1.24560546875
object-det,Random,1.40830078125,1.38916015625,1.73369140625,1.76431640625
object-det,Round-Robin,1.39873046875,1.38916015625,1.73369140625,1.76431640625
object-det,SLO-first,1.27431640625,1.19775390625,1.50400390625,1.56525390625
prepare-ds,Best-Acc,1.58056640625,1.58056640625,1.58056640625,1.58056640625
prepare-ds,Lowest-Latency,1.27431640625,1.24560546875,1.36044921875,1.38341796875
prepare-ds,Random,1.22646484375,1.24560546875,1.36044921875,1.38341796875
prepare-ds,Round-Robin,1.39873046875,1.38916015625,1.73369140625,1.76431640625
prepare-ds,SLO-first,1.19775390625,1.19775390625,1.19775390625,1.19775390625
