profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,2.282133400000025,2.307291499999975,2.762712499999942,2.807442499999959
extract-frames,Lowest-Latency,168.29486670000003,167.8707705000001,178.75043155,180.34488630999996
extract-frames,Random,3.071933200000021,3.0750410000000006,3.5867376499999044,3.6661475300000435
extract-frames,Round-Robin,2.2829749000000343,2.28941650000003,3.029562500000032,3.1866125000000425
extract-frames,SLO-first,38.61782489999994,38.155770500000074,48.227618750000005,48.49442374999999
object-det,Best-Acc,2.1374832000000232,2.108103999999722,2.820641450000138,2.9401610900001884
object-det,Lowest-Latency,165.69437499999998,165.81472949999966,180.56021845000035,181.17814369000044
object-det,Random,3.0083249000000034,2.747062500000119,4.127143749999672,4.365328749999753
object-det,Round-Robin,2.12869579999988,2.0950834999997614,2.831462199999812,2.9772924399999923
object-det,SLO-first,39.997766599999984,38.65258349999978,51.5192704999999,56.68212049999999
prepare-ds,Best-Acc,2.4375085999999158,2.5207709999999217,2.6888358999999973,2.6944007800006453
prepare-ds,Lowest-Latency,168.16642919999998,167.23060449999983,184.1289473999997,186.5734222799997
prepare-ds,Random,2.934837599999973,2.971562500000413,3.4697937500003384,3.499358750000514
prepare-ds,Round-Robin,2.239137600000163,2.103479499999672,3.11797715000055,3.26316263000078
prepare-ds,SLO-first,42.80424579999984,39.640416500000164,58.87172324999982,62.30247824999956
