profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,1230.3717601377118,1231.2931687650573,1371.2085722856414,1401.5329079671333
extract-frames,Lowest-Latency,581.4054675615829,576.654621642482,714.0832067043453,732.969083356361
extract-frames,Random,1090.3906927456487,1040.1483903814326,1381.0111374397436,1423.8589963855566
extract-frames,Round-Robin,1222.014001839874,1248.9727070526958,1561.0632885536852,1576.0916196445903
extract-frames,SLO-first,554.5,540.0,739.9999999999999,776.0
object-det,Best-Acc,1300.4908597780864,1278.4999104605836,1504.2912965331057,1539.490179179032
object-det,Lowest-Latency,524.9912071089033,508.71193181801215,705.8376858472542,761.6480953572685
object-det,Random,1226.7367601703622,1225.9246977495513,1527.3662271854694,1543.059408305162
object-det,Round-Robin,1228.193497824416,1198.7612350283243,1539.968647908497,1585.3240722030155
object-det,SLO-first,511.5,480.0,648.4999999999999,673.7
prepare-ds,Best-Acc,1287.192310500935,1291.575799486025,1514.3173920343693,1524.4831706777254
prepare-ds,Lowest-Latency,500.6675006190708,498.2165749083231,630.435234020581,651.128888029825
prepare-ds,Random,1125.0839931544954,1077.9773775885938,1439.3060928103166,1441.3289493504783
prepare-ds,Round-Robin,1241.8592309835997,1264.2232486280195,1517.985295366339,1554.067521619877
prepare-ds,SLO-first,535.5,500.0,680.0,680.0
