profile,strategy,slo_violation_pct_task_slo
extract-frames,Best-Acc,3231.878934558788
extract-frames,Full-model,3230.9867433808713
extract-frames,Lowest-Latency,589.3728870052585
extract-frames,Random,3172.0043867453073
extract-frames,Round-Robin,3210.0272499145044
extract-frames,SLO-first,611.1119042758189
object-det,Best-Acc,3065.6028612630475
object-det,Full-model,3058.2390600962776
object-det,Lowest-Latency,523.9577590367132
object-det,Random,3099.882897693865
object-det,Round-Robin,3050.3188513678924
object-det,SLO-first,539.1308412187219
prepare-ds,Best-Acc,3361.093844486172
prepare-ds,Full-model,3351.3971216181867
prepare-ds,Lowest-Latency,713.5942357435648
prepare-ds,Random,3341.77238013816
prepare-ds,Round-Robin,3406.7350628044005
prepare-ds,SLO-first,748.017739495804
