profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,1.1484375,1.1484375,1.1484375,1.1484375
extract-frames,Full-model,1.1484375,1.1484375,1.1484375,1.1484375
extract-frames,Lowest-Latency,1.091015625,1.1005859375,1.12451171875,1.12451171875
extract-frames,Random,1.0936474609375,1.1005859375,1.1484375,1.1484375
extract-frames,Round-Robin,1.08623046875,1.1005859375,1.1484375,1.1484375
extract-frames,SLO-first,0.1780078125,0.0,0.57421875,0.57421875
object-det,Best-Acc,1.1484375,1.1484375,1.1484375,1.1484375
object-det,Full-model,1.1484375,1.1484375,1.1484375,1.1484375
object-det,Lowest-Latency,1.091015625,1.1005859375,1.12451171875,1.12451171875
object-det,Random,1.0969970703125,1.1005859375,1.1484375,1.1484375
object-det,Round-Robin,1.08623046875,1.1005859375,1.1484375,1.1484375
object-det,SLO-first,0.1378125,0.0,0.57421875,0.57421875
prepare-ds,Best-Acc,1.1484375,1.1484375,1.1484375,1.1484375
prepare-ds,Full-model,1.1484375,1.1484375,1.1484375,1.1484375
prepare-ds,Lowest-Latency,1.091494140625,1.1005859375,1.12451171875,1.12451171875
prepare-ds,Random,1.0871875,1.1005859375,1.1484375,1.1484375
prepare-ds,Round-Robin,1.08623046875,1.1005859375,1.1484375,1.1484375
prepare-ds,SLO-first,0.1378125,0.0,0.57421875,0.57421875
