profile,strategy,mean,median,p95,p99
extract-frames,Best-Acc,0.0,0.0,0.0,0.0
extract-frames,Full-model,0.0,0.0,0.0,0.0
extract-frames,Lowest-Latency,0.0,0.0,0.0,0.0
extract-frames,Random,0.0,0.0,0.0,0.0
extract-frames,Round-Robin,0.0,0.0,0.0,0.0
extract-frames,SLO-first,58.2,60.0,60.0,60.0
object-det,Best-Acc,0.0,0.0,0.0,0.0
object-det,Full-model,0.0,0.0,0.0,0.0
object-det,Lowest-Latency,0.0,0.0,0.0,0.0
object-det,Random,0.0,0.0,0.0,0.0
object-det,Round-Robin,0.0,0.0,0.0,0.0
object-det,SLO-first,58.6,60.0,60.0,60.0
prepare-ds,Best-Acc,0.0,0.0,0.0,0.0
prepare-ds,Full-model,0.0,0.0,0.0,0.0
prepare-ds,Lowest-Latency,0.0,0.0,0.0,0.0
prepare-ds,Random,0.0,0.0,0.0,0.0
prepare-ds,Round-Robin,0.0,0.0,0.0,0.0
prepare-ds,SLO-first,58.3,60.0,60.0,60.0
