profile,strategy,latency_mean,latency_median,latency_p95,latency_p99,acc_acc_mean,payload_mean,payload_median,payload_p95,payload_p99,link_mean,link_median,link_p95,link_p99,hops_mean,hops_median,hops_p95,hops_p99,selector_mean,selector_median,selector_p95,selector_p99,ssp_mean,ssp_median,ssp_p95,ssp_p99
extract-frames,Best-Acc,2536.72857141209,2536.72857141209,2536.72857141209,2536.72857141209,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,11.6337890625,11.6337890625,11.6337890625,11.6337890625,57.0,57.0,57.0,57.0,1.8504999999999772,1.8504999999999772,1.8504999999999772,1.8504999999999772,,,,
extract-frames,Lowest-Latency,946.9616406027337,946.9616406027337,946.9616406027337,946.9616406027337,86.76,1.38916015625,1.38916015625,1.38916015625,1.38916015625,3.59033203125,3.59033203125,3.59033203125,3.59033203125,21.0,21.0,21.0,21.0,71.16458400000015,71.16458400000015,71.16458400000015,71.16458400000015,,,,
extract-frames,Random,3296.1543766003547,3296.1543766003547,3296.1543766003547,3296.1543766003547,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,11.77978515625,11.77978515625,11.77978515625,11.77978515625,74.0,74.0,74.0,74.0,3.4493330000000544,3.4493330000000544,3.4493330000000544,3.4493330000000544,,,,
extract-frames,Round-Robin,2084.760547937965,2084.760547937965,2084.760547937965,2084.760547937965,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,9.703125,9.703125,9.703125,9.703125,46.0,46.0,46.0,46.0,1.5766659999998378,1.5766659999998378,1.5766659999998378,1.5766659999998378,,,,
extract-frames,SLO-first,385.0,385.0,385.0,385.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,1.34130859375,1.34130859375,1.34130859375,1.34130859375,9.0,9.0,9.0,9.0,725.952333,725.952333,725.952333,725.952333,1870.0,1870.0,1870.0,1870.0
object-det,Best-Acc,3019.815731411432,3019.815731411432,3019.815731411432,3019.815731411432,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,11.41552734375,11.41552734375,11.41552734375,11.41552734375,69.0,69.0,69.0,69.0,2.176292000000135,2.176292000000135,2.176292000000135,2.176292000000135,,,,
object-det,Lowest-Latency,657.400963386125,657.400963386125,657.400963386125,657.400963386125,82.24,1.24560546875,1.24560546875,1.24560546875,1.24560546875,2.3984375,2.3984375,2.3984375,2.3984375,16.0,16.0,16.0,16.0,69.03808399999977,69.03808399999977,69.03808399999977,69.03808399999977,,,,
object-det,Random,2978.1738773061406,2978.1738773061406,2978.1738773061406,2978.1738773061406,82.24,1.24560546875,1.24560546875,1.24560546875,1.24560546875,13.103515625,13.103515625,13.103515625,13.103515625,71.0,71.0,71.0,71.0,3.029958000000388,3.029958000000388,3.029958000000388,3.029958000000388,,,,
object-det,Round-Robin,2562.915897918281,2562.915897918281,2562.915897918281,2562.915897918281,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,10.27880859375,10.27880859375,10.27880859375,10.27880859375,59.0,59.0,59.0,59.0,1.8302500000002553,1.8302500000002553,1.8302500000002553,1.8302500000002553,,,,
object-det,SLO-first,490.0,490.0,490.0,490.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,2.4658203125,2.4658203125,2.4658203125,2.4658203125,14.0,14.0,14.0,14.0,336.52745799999997,336.52745799999997,336.52745799999997,336.52745799999997,814.0,814.0,814.0,814.0
prepare-ds,Best-Acc,2992.258168318399,2992.258168318399,2992.258168318399,2992.258168318399,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,14.2880859375,14.2880859375,14.2880859375,14.2880859375,66.0,66.0,66.0,66.0,2.28904200000013,2.28904200000013,2.28904200000013,2.28904200000013,,,,
prepare-ds,Lowest-Latency,1117.4536370546798,1117.4536370546798,1117.4536370546798,1117.4536370546798,82.24,1.24560546875,1.24560546875,1.24560546875,1.24560546875,3.75927734375,3.75927734375,3.75927734375,3.75927734375,26.0,26.0,26.0,26.0,70.9057500000001,70.9057500000001,70.9057500000001,70.9057500000001,,,,
prepare-ds,Random,2177.4737650921415,2177.4737650921415,2177.4737650921415,2177.4737650921415,88.07,1.05419921875,1.05419921875,1.05419921875,1.05419921875,6.97412109375,6.97412109375,6.97412109375,6.97412109375,50.0,50.0,50.0,50.0,2.339916000000386,2.339916000000386,2.339916000000386,2.339916000000386,,,,
prepare-ds,Round-Robin,2293.5891641931853,2293.5891641931853,2293.5891641931853,2293.5891641931853,90.47,1.58056640625,1.58056640625,1.58056640625,1.58056640625,11.2705078125,11.2705078125,11.2705078125,11.2705078125,49.0,49.0,49.0,49.0,1.8076669999995687,1.8076669999995687,1.8076669999995687,1.8076669999995687,,,,
prepare-ds,SLO-first,455.0,455.0,455.0,455.0,89.01,1.19775390625,1.19775390625,1.19775390625,1.19775390625,2.32373046875,2.32373046875,2.32373046875,2.32373046875,13.0,13.0,13.0,13.0,327.5260000000002,327.5260000000002,327.5260000000002,327.5260000000002,814.0,814.0,814.0,814.0
