profile,strategy,mean,median,p95,p99
default,Best-Acc,21.608184814453125,20.830078125,30.597949218749996,34.48800292968749
default,Lowest-Latency,13.451534423828125,12.6376953125,20.1148193359375,23.642636718749998
default,Random,18.2448828125,17.008544921875,28.458691406249997,33.032958984374986
default,Round-Robin,18.2820751953125,17.39111328125,27.63540039062499,32.11207031249999
default,SLO-first,13.2397314453125,12.480712890625,20.167358398437493,23.154228515624997
fast,Best-Acc,21.2578564453125,20.337158203125,29.877099609374994,34.8418212890625
fast,Lowest-Latency,13.586754150390625,12.7314453125,20.785693359374996,23.807670898437493
fast,Random,18.01903076171875,17.219482421875,27.192993164062486,32.7576904296875
fast,Round-Robin,18.353470458984376,17.246337890625,28.1742431640625,32.272553710937494
fast,SLO-first,13.685982666015626,12.946533203125,20.4606689453125,22.367578124999994
heavy,Best-Acc,21.44340087890625,20.51953125,30.151318359374958,35.27765624999999
heavy,Lowest-Latency,13.489063720703125,12.722900390625,20.335473632812498,22.698623046875
heavy,Random,18.043935546875,17.0498046875,28.103466796874997,32.5119873046875
heavy,Round-Robin,18.207928466796876,17.48095703125,27.773706054687494,31.882543945312495
heavy,SLO-first,13.42872802734375,12.64892578125,19.414941406249998,22.97581542968749
