run,strategy,latency_ms,acc,payload_mb,link_mb,hop_count,met_slo,stages_met,met_task_slo_all,stages_met_task_slo,stages,profiles
0,SLO-first,22725.876426828523,93.86,3.16259765625,51.46435546875,284,False,0,False,0,3,fast|default|heavy
0,Best-Acc,29292.298541799242,95.16,4.74169921875,69.966796875,314,False,0,False,0,3,fast|default|heavy
0,Lowest-Latency,20252.099866022767,94.56,3.35400390625,38.7646484375,241,False,0,False,0,3,fast|default|heavy
0,Random,25921.42777533151,94.59,4.07177734375,62.7255859375,318,False,0,False,0,3,fast|default|heavy
0,Round-Robin,26880.031978003055,94.11,4.55029296875,54.52001953125,290,False,0,False,0,3,fast|default|heavy
1,SLO-first,20541.247217962595,93.86,3.49755859375,38.0703125,257,False,0,False,0,3,fast|default|heavy
1,Best-Acc,29597.95329856019,95.16,4.74169921875,76.86328125,366,False,0,False,0,3,fast|default|heavy
1,Lowest-Latency,20784.654888081262,94.11,3.44970703125,37.185546875,240,False,0,False,0,3,fast|default|heavy
1,Random,26906.635372415694,93.38,3.88037109375,52.1552734375,301,False,0,False,0,3,fast|default|heavy
1,Round-Robin,26275.162098793822,93.86,4.02392578125,57.70068359375,291,False,0,False,0,3,fast|default|heavy
2,SLO-first,19674.517472463904,93.86,3.30615234375,41.90625,230,False,0,False,0,3,fast|default|heavy
2,Best-Acc,27846.907375599272,95.16,4.74169921875,69.3193359375,311,False,0,False,0,3,fast|default|heavy
2,Lowest-Latency,19819.74055365062,93.86,3.35400390625,46.85302734375,237,False,0,False,0,3,fast|default|heavy
2,Random,29143.919740215093,93.38,4.55029296875,59.451171875,344,False,0,False,0,3,fast|default|heavy
2,Round-Robin,25910.153667999693,93.38,3.64111328125,51.814453125,292,False,0,False,0,3,fast|default|heavy
3,SLO-first,19246.11088088277,94.11,3.49755859375,35.3701171875,237,False,0,False,0,3,fast|default|heavy
3,Best-Acc,27810.475981848835,95.16,4.74169921875,60.57568359375,305,False,0,False,0,3,fast|default|heavy
3,Lowest-Latency,18167.36895334194,93.86,3.49755859375,33.51171875,200,False,0,False,0,3,fast|default|heavy
3,Random,22442.599861077684,94.59,3.73681640625,46.17529296875,268,False,0,False,0,3,fast|default|heavy
3,Round-Robin,26533.89059099732,94.59,3.68896484375,50.92626953125,311,False,0,False,0,3,fast|default|heavy
4,SLO-first,19746.347061668952,93.86,3.30615234375,39.98486328125,227,False,0,False,0,3,fast|default|heavy
4,Best-Acc,28945.896539896563,95.16,4.74169921875,63.2841796875,330,False,0,False,0,3,fast|default|heavy
4,Lowest-Latency,18950.556876549424,93.86,3.16259765625,35.75732421875,223,False,0,False,0,3,fast|default|heavy
4,Random,30002.883110627678,93.38,4.93310546875,57.06884765625,330,False,0,False,0,3,fast|default|heavy
4,Round-Robin,23207.723879518606,94.56,3.88037109375,47.63671875,251,False,0,False,0,3,fast|default|heavy
5,SLO-first,17958.97270260297,94.59,3.35400390625,31.546875,184,False,0,False,0,3,fast|default|heavy
5,Best-Acc,29371.42562156167,95.16,4.74169921875,66.81005859375,322,False,0,False,0,3,fast|default|heavy
5,Lowest-Latency,18641.97421346728,94.59,3.49755859375,35.12939453125,222,False,0,False,0,3,fast|default|heavy
5,Random,25493.19306264375,94.99,4.55029296875,50.9111328125,308,False,0,False,0,3,fast|default|heavy
5,Round-Robin,22955.729470026246,95.16,4.07177734375,65.34619140625,298,False,0,False,0,3,fast|default|heavy
6,SLO-first,19475.26387545135,93.86,3.16259765625,36.02685546875,211,False,0,False,0,3,fast|default|heavy
6,Best-Acc,28130.570124820308,95.16,4.74169921875,55.96142578125,309,False,0,False,0,3,fast|default|heavy
6,Lowest-Latency,19102.499933579616,94.59,3.54541015625,45.0478515625,243,False,0,False,0,3,fast|default|heavy
6,Random,24649.671215572213,93.86,3.68896484375,52.77880859375,338,False,0,False,0,3,fast|default|heavy
6,Round-Robin,25014.192142069478,94.99,4.59814453125,61.51220703125,300,False,0,False,0,3,fast|default|heavy
7,SLO-first,21344.320249364475,94.59,3.49755859375,50.41796875,261,False,0,False,0,3,fast|default|heavy
7,Best-Acc,27438.061248765895,95.16,4.74169921875,65.67041015625,322,False,0,False,0,3,fast|default|heavy
7,Lowest-Latency,18547.788932889936,94.56,3.73681640625,33.8193359375,218,False,0,False,0,3,fast|default|heavy
7,Random,22325.030869983828,94.59,4.07177734375,52.900390625,293,False,0,False,0,3,fast|default|heavy
7,Round-Robin,28358.771079936367,94.11,4.55029296875,58.35400390625,301,False,0,False,0,3,fast|default|heavy
8,SLO-first,21072.987929398398,93.86,3.35400390625,42.455078125,266,False,0,False,0,3,fast|default|heavy
8,Best-Acc,31231.587973310583,95.16,4.74169921875,77.70703125,370,False,0,False,0,3,fast|default|heavy
8,Lowest-Latency,19566.48574526116,93.86,3.16259765625,42.5556640625,217,False,0,False,0,3,fast|default|heavy
8,Random,25949.770595045033,93.86,4.40673828125,56.27197265625,324,False,0,False,0,3,fast|default|heavy
8,Round-Robin,27176.795310027603,93.86,4.02392578125,52.82275390625,275,False,0,False,0,3,fast|default|heavy
9,SLO-first,19968.469747422565,94.59,3.35400390625,36.31982421875,223,False,0,False,0,3,fast|default|heavy
9,Best-Acc,26217.989542241987,95.16,4.74169921875,54.75146484375,313,False,0,False,0,3,fast|default|heavy
9,Lowest-Latency,21349.6201466119,93.86,3.35400390625,46.91748046875,276,False,0,False,0,3,fast|default|heavy
9,Random,23007.25420922141,94.99,4.02392578125,48.1123046875,264,False,0,False,0,3,fast|default|heavy
9,Round-Robin,23849.977971332504,93.38,3.64111328125,44.59326171875,261,False,0,False,0,3,fast|default|heavy
10,SLO-first,20290.325457168547,93.86,3.35400390625,39.876953125,221,False,0,False,0,3,fast|default|heavy
10,Best-Acc,28844.41926613255,95.16,4.74169921875,61.1630859375,334,False,0,False,0,3,fast|default|heavy
10,Lowest-Latency,21448.987597770873,94.56,3.54541015625,42.82666015625,262,False,0,False,0,3,fast|default|heavy
10,Random,25244.442522423655,93.38,3.78466796875,51.03662109375,289,False,0,False,0,3,fast|default|heavy
10,Round-Robin,22815.072483045908,94.59,3.68896484375,43.5185546875,267,False,0,False,0,3,fast|default|heavy
11,SLO-first,21071.42313522006,93.86,3.64111328125,52.41748046875,274,False,0,False,0,3,fast|default|heavy
11,Best-Acc,28229.542201009514,95.16,4.74169921875,63.49365234375,312,False,0,False,0,3,fast|default|heavy
11,Lowest-Latency,19078.200930257393,94.11,3.49755859375,48.64453125,240,False,0,False,0,3,fast|default|heavy
11,Random,23044.95551483688,93.38,4.02392578125,50.4990234375,266,False,0,False,0,3,fast|default|heavy
11,Round-Robin,28641.690264227327,94.56,3.88037109375,54.0615234375,323,False,0,False,0,3,fast|default|heavy
12,SLO-first,21400.624339580252,93.86,3.35400390625,44.6875,260,False,0,False,0,3,fast|default|heavy
12,Best-Acc,23225.091467793536,95.16,4.74169921875,47.560546875,249,False,0,False,0,3,fast|default|heavy
12,Lowest-Latency,17611.506133487306,93.86,3.16259765625,31.47314453125,195,False,0,False,0,3,fast|default|heavy
12,Random,25089.05005400267,93.38,3.68896484375,47.8203125,283,False,0,False,0,3,fast|default|heavy
12,Round-Robin,27898.75332707881,95.16,4.07177734375,62.8447265625,304,False,0,False,0,3,fast|default|heavy
13,SLO-first,20034.664600000546,94.59,3.35400390625,42.404296875,235,False,0,False,0,3,fast|default|heavy
13,Best-Acc,27173.617302934283,95.16,4.74169921875,50.6015625,279,False,0,False,0,3,fast|default|heavy
