profile,strategy,mean,median,p95,p99
default,Best-Acc,9792.429642650708,9755.35106227177,11667.2010653002,12453.250481003472
default,Lowest-Latency,6772.029819525789,6765.716916372314,7930.621160898835,8381.250292685156
default,Random,8846.649304255994,8713.738790833193,11637.215236759037,12818.995125145731
default,Round-Robin,8942.976967720546,8654.397902369457,11965.060968751397,13615.532126058906
default,SLO-first,6783.839521453536,6765.32816192262,7929.942292068503,8371.09122820161
fast,Best-Acc,9717.123578936127,9646.632617414605,11718.442147206884,12451.453692857203
fast,Lowest-Latency,6639.578770511423,6672.502798569345,7885.087236055838,8456.103157873744
fast,Random,8634.63514239067,8399.504303214304,11792.42745125899,12700.75734229762
fast,Round-Robin,8727.978320707945,8604.578358579021,11378.89382157544,12887.571460562305
fast,SLO-first,6656.0383461557,6665.43220567024,7912.0143259030065,8300.052421456865
heavy,Best-Acc,9977.678061062252,9949.64568929907,11996.555322055006,13305.962512918699
heavy,Lowest-Latency,6907.708370305368,6927.464978299854,8195.05916356395,8548.318896433439
heavy,Random,8942.359565529268,8637.337360351583,12044.679441526721,12956.114697190744
heavy,Round-Robin,8931.884832229462,8816.63908360584,11719.824176758573,13079.864000604859
heavy,SLO-first,6812.083598877743,6792.264141158974,8055.923562600454,8620.824333857083
