run,strategy,stitch_id,met_slo,utility,latency_ms,payload_mb,link_mb,hop_count,acc,profile
0,SLO-first,6,False,-110.22318980544554,7940.649271817539,1.24560546875,15.75927734375,82,94.59,fast
0,Best-Acc,1,False,,9048.735697176426,1.58056640625,24.9990234375,102,95.16,fast
0,Lowest-Latency,4,False,,5759.764664867253,1.05419921875,10.16943359375,66,93.86,fast
0,Random,2,False,,10548.697698919887,1.77197265625,27.51123046875,124,94.99,fast
0,Round-Robin,1,False,,11483.136493772477,1.58056640625,33.88916015625,128,95.16,fast
1,SLO-first,4,False,-83.35467170402613,6020.94797885901,1.05419921875,10.44921875,64,93.86,fast
1,Best-Acc,1,False,,9193.062704136537,1.58056640625,15.67822265625,101,95.16,fast
1,Lowest-Latency,6,False,,6482.827745630333,1.24560546875,11.47509765625,67,94.59,fast
1,Random,2,False,,11675.301909324582,1.77197265625,24.720703125,119,94.99,fast
1,Round-Robin,2,False,,9879.393900841193,1.77197265625,18.63916015625,106,94.99,fast
2,SLO-first,4,False,-92.57598280455686,6679.6130574683475,1.05419921875,12.96142578125,68,93.86,fast
2,Best-Acc,1,False,,9725.550346321781,1.58056640625,19.60986328125,101,95.16,fast
2,Lowest-Latency,4,False,,7462.277892316851,1.05419921875,14.48193359375,83,93.86,fast
2,Random,3,False,,8978.27861453182,1.19775390625,19.13134765625,93,94.11,fast
2,Round-Robin,3,False,,7434.913599441595,1.19775390625,13.2666015625,81,94.11,fast
3,SLO-first,4,False,-75.62093130396252,5468.537950283037,1.05419921875,11.0908203125,59,93.86,fast
3,Best-Acc,1,False,,10237.704094482142,1.58056640625,21.12158203125,103,95.16,fast
3,Lowest-Latency,4,False,,6246.804778747811,1.05419921875,13.33984375,65,93.86,fast
3,Random,7,False,,7879.011747561689,1.24560546875,14.66015625,82,94.56,fast
3,Round-Robin,4,False,,5869.954544183998,1.05419921875,11.974609375,63,93.86,fast
4,SLO-first,4,False,-95.2169477084917,6868.2534077494065,1.05419921875,12.2421875,70,93.86,fast
4,Best-Acc,1,False,,11061.520009520666,1.58056640625,30.1669921875,131,95.16,fast
4,Lowest-Latency,4,False,,6488.514284985132,1.05419921875,12.9599609375,67,93.86,fast
4,Random,4,False,,7070.26504986625,1.05419921875,12.6728515625,72,93.86,fast
4,Round-Robin,5,False,,11007.294358908259,1.38916015625,20.30517578125,118,93.38,fast
5,SLO-first,4,False,-90.29821951279756,6516.91567948554,1.05419921875,12.26611328125,72,93.86,fast
5,Best-Acc,1,False,,11816.865848497966,1.58056640625,25.27880859375,117,95.16,fast
5,Lowest-Latency,7,False,,6616.714044891363,1.24560546875,12.3603515625,69,94.56,fast
5,Random,2,False,,12132.768028856584,1.77197265625,25.046875,125,94.99,fast
5,Round-Robin,6,False,,8802.2368231106,1.24560546875,16.37841796875,95,94.59,fast
6,SLO-first,4,False,-95.7870850603468,6908.9775043104855,1.05419921875,12.625,76,93.86,fast
6,Best-Acc,1,False,,10731.794731706745,1.58056640625,21.8466796875,114,95.16,fast
6,Lowest-Latency,4,False,,7229.601852806916,1.05419921875,12.7744140625,72,93.86,fast
6,Random,7,False,,7938.466002111205,1.24560546875,14.7646484375,91,94.56,fast
6,Round-Robin,7,False,,8434.16397987191,1.24560546875,15.92236328125,88,94.56,fast
7,SLO-first,4,False,-111.58621679581336,8037.48691398667,1.05419921875,15.94921875,82,93.86,fast
7,Best-Acc,1,False,,9415.242888350402,1.58056640625,21.04541015625,95,95.16,fast
7,Lowest-Latency,4,False,,5368.800364048998,1.05419921875,10.42236328125,57,93.86,fast
7,Random,7,False,,6688.485122966852,1.24560546875,12.02978515625,74,94.56,fast
7,Round-Robin,1,False,,9409.235711445992,1.58056640625,19.25390625,102,95.16,fast
8,SLO-first,4,False,-99.92663009528458,7204.659292520327,1.05419921875,13.74951171875,71,93.86,fast
8,Best-Acc,1,False,,8320.39881870401,1.58056640625,16.5234375,85,95.16,fast
