profile,strategy,mean,median,p95,p99,acc_mean,mean_payload,median_payload,p95_payload,p99_payload,mean_link,median_link,p95_link,p99_link,mean_hops,median_hops,p95_hops,p99_hops
default,Best-Acc,10246.224514905576,10261.213511524307,12526.654736703276,13906.544060355613,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.836480712890626,21.202880859375,30.60029296874999,33.6116162109375,109.2825,107.0,142.0,157.01999999999998
default,Lowest-Latency,7026.8706717519335,7037.480746501758,8190.353228236234,8636.5111846407,94.0587,1.1257373046875,1.05419921875,1.24560546875,1.38916015625,13.6924658203125,13.260498046875,18.922387695312498,22.12021484374998,78.905,77.0,102.04999999999995,117.0
default,Random,9322.714013017241,9149.507016341595,12069.239857866987,13282.20360038358,94.367025,1.353271484375,1.24560546875,1.77197265625,1.77197265625,18.679842529296874,17.739013671875,27.041357421874988,31.450927734374996,102.32,99.0,137.04999999999995,163.01999999999998
default,Round-Robin,9217.330138489211,9163.178798058088,12273.936830833884,13376.281310763994,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.61354736328125,17.763427734375,26.65898437499999,34.041909179687494,100.8275,99.0,136.0999999999999,152.05999999999995
default,SLO-first,7048.290955563459,7045.357863002408,8308.620007385254,8596.321785294993,94.06264999999999,1.1233447265625,1.05419921875,1.24560546875,1.24560546875,13.701304931640625,13.199951171875,18.632495117187496,22.102612304687486,79.4925,78.0,105.0,118.0
fast,Best-Acc,10124.353850967194,10072.879817303383,12120.769440571628,13400.050808096936,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.7254345703125,20.902587890625,29.388354492187485,34.329228515625,109.5525,107.0,137.0,158.0
fast,Lowest-Latency,6990.691334805306,6979.803511818747,8173.980572414603,8591.10093934937,94.05222499999999,1.1252587890625,1.05419921875,1.24560546875,1.38916015625,13.6778369140625,13.259033203125,18.49631347656249,21.838427734374996,79.71,77.0,107.04999999999995,114.00999999999999
fast,Random,9236.147772653894,9001.95115636013,12326.394171548734,13617.222898684664,94.36605,1.35386962890625,1.24560546875,1.77197265625,1.77197265625,18.598724365234375,17.819091796875,28.021142578125,31.847270507812496,102.235,100.0,141.0,152.01
fast,Round-Robin,9203.114492068124,9009.57686873474,12317.901837996493,13550.561042818526,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.510220947265626,17.458740234375,27.35527343749999,33.8297021484375,101.735,100.5,139.0,158.02999999999997
fast,SLO-first,6963.924070254328,6975.445504948977,8081.203463290279,8590.740960274987,94.038325,1.11939697265625,1.05419921875,1.24560546875,1.38916015625,13.520670166015625,13.02587890625,19.4901123046875,21.927075195312497,79.665,77.0,103.04999999999995,113.0
heavy,Best-Acc,10367.783871655942,10337.2402686309,12473.497680910557,13306.342048059834,95.16,1.58056640625,1.58056640625,1.58056640625,1.58056640625,21.18621826171875,20.62353515625,28.0915283203125,31.954145507812495,108.11,105.0,138.04999999999995,156.01999999999998
heavy,Lowest-Latency,7156.831463807558,7193.32848974817,8300.060104752794,8546.253044305282,94.051075,1.1262158203125,1.05419921875,1.24560546875,1.38916015625,13.6377734375,13.19921875,19.45190429687499,22.8929736328125,79.18,76.0,104.04999999999995,114.01999999999998
heavy,Random,9305.990804356186,9136.671085658616,12189.203028524758,13502.477271320522,94.40237499999999,1.3611669921875,1.24560546875,1.77197265625,1.77197265625,18.331160888671874,17.292724609375,26.317822265624997,31.556645507812497,100.0775,98.5,135.0,151.01
heavy,Round-Robin,9358.276376702242,9201.515306370526,12008.641374202249,13214.091881039023,94.38052499999999,1.35554443359375,1.24560546875,1.77197265625,1.77197265625,18.40801025390625,17.77197265625,26.37109374999999,31.80900390625,100.48,98.0,135.04999999999995,148.01
heavy,SLO-first,7093.543489730899,7051.739748229262,8329.908199576896,8812.606702522362,94.0428,1.120712890625,1.05419921875,1.24560546875,1.3910742187499983,13.455438232421875,12.962890625,19.55415039062499,23.50409667968749,78.35,76.0,103.0,115.01999999999998
