profile,strategy,mean,median,p95,p99
default,Best-Acc,110.405,107.0,141.0,156.01
default,Lowest-Latency,79.24,77.0,105.0,118.0
default,Random,101.4725,100.0,136.04999999999995,154.0
default,Round-Robin,102.48,100.5,135.04999999999995,155.01
default,SLO-first,80.29,78.0,103.04999999999995,111.0
fast,Best-Acc,108.2775,105.0,140.0,151.01
fast,Lowest-Latency,78.6675,76.0,105.0,119.00999999999999
fast,Random,100.4225,98.0,136.0,160.01
fast,Round-Robin,100.5975,99.0,135.0,148.01
fast,SLO-first,79.3675,76.0,106.0,115.05999999999995
heavy,Best-Acc,108.16,105.0,137.04999999999995,157.0
heavy,Lowest-Latency,79.9075,77.0,104.04999999999995,113.02999999999997
heavy,Random,101.315,99.0,139.04999999999995,157.01999999999998
heavy,Round-Robin,101.2625,99.0,137.04999999999995,159.0
heavy,SLO-first,79.485,77.0,104.0,115.03999999999996
